	photo_cnt	photo_like_cnt	photo_like_max	photo_like_mean	photo_like_median	photo_month_mean	photo_repost_cnt	photo_repost_max	photo_repost_mean	photo_repost_median	photo_text	photo_text_len_cnt	photo_yer_mean	uid	vk_photo_ava_change_cnt	vk_photo_text_url_len_cnt	vk_photo_wall_ph_post_cnt
259	3	260	106	86.66666666666667	105.0	1.5	0	0	0.0	0.0	  	0.0	1.5	196868072	0	0	0
260	3	37	17	12.333333333333334	15.0	1.0	0	0	0.0	0.0	  	0.0	1.0	197982051	0	0	0
261	4	234	85	58.5	51.5	1.3333333333333333	0	0	0.0	0.0	   	0.0	2.0	198163381	0	0	0
262														198207452.0			
263	3	402	156	134.0	148.0	1.0	0	0	0.0	0.0	  	0.0	1.5	198295813	0	0	0
264	2	9	5	4.5	4.5	2.0	0	0	0.0	0.0	#vsco #vscocam #vscorussia #sochi #april #vsco #vscocam #vscorussia #sochi #april	40.0	2.0	207846804	0	0	0
265														211899258.0			
266	1	34	34	34.0	34.0	1.0	0	0	0.0	0.0		0.0	1.0	212001184	0	0	0
267														213600184.0			
268	18	165	16	9.166666666666666	10.5	2.5714285714285716	0	0	0.0	0.0	                 	0.0	9.0	215429252	0	0	0
269	4	182	61	45.5	44.5	1.0	0	0	0.0	0.0	   	0.0	2.0	217705274	0	0	0
270	1	5	5	5.0	5.0	1.0	0	0	0.0	0.0		0.0	1.0	218449665	0	0	0
271	20	907	94	45.35	41.0	1.8181818181818181	0	0	0.0	0.0	                   	0.0	4.0	218902688	0	0	0
272	18	31	4	1.7222222222222223	2.0	2.25	0	0	0.0	0.0	         щя загасим!        	0.0	4.5	219497485	0	0	0
273	2	26	22	13.0	13.0	1.0	0	0	0.0	0.0	 	0.0	1.0	223082657	0	0	0
274	18	1011	109	56.166666666666664	49.0	2.0	0	0	0.0	0.0	                 	0.0	6.0	223179742	0	0	0
275	2	35	24	17.5	17.5	1.0	0	0	0.0	0.0	 	0.0	1.0	230715610	0	0	0
276	4	312	94	78.0	75.0	1.0	0	0	0.0	0.0	   	0.0	1.3333333333333333	232033279	0	0	0
277	1	50	50	50.0	50.0	1.0	0	0	0.0	0.0		0.0	1.0	235838327	0	0	0
278	5	152	46	30.4	27.0	1.0	0	0	0.0	0.0	    	0.0	1.25	237542879	0	0	0
279	3	184	92	61.333333333333336	55.0	1.0	0	0	0.0	0.0	  	0.0	1.5	239997544	0	0	0
280	5	109	34	21.8	18.0	1.0	0	0	0.0	0.0	    	0.0	1.6666666666666667	247671917	0	0	0
281	1	9	9	9.0	9.0	1.0	0	0	0.0	0.0		0.0	1.0	253030094	0	0	0
282	2	56	39	28.0	28.0	1.0	0	0	0.0	0.0	 	0.0	2.0	255587250	0	0	0
283	7	274	75	39.142857142857146	42.0	2.3333333333333335	0	0	0.0	0.0	      	0.0	3.5	259684159	0	0	0
284	4	73	22	18.25	18.0	2.0	0	0	0.0	0.0	   	0.0	4.0	261236455	0	0	0
285	2	39	38	19.5	19.5	1.0	0	0	0.0	0.0	 	0.0	1.0	265056772	0	0	0
286														266589347.0			
287														269598476.0			
288														274836942.0			
289	19	222	36	11.68421052631579	5.0	3.8	0	0	0.0	0.0	                  	0.0	6.333333333333333	293764965	0	0	0
290	29	1792	99	61.793103448275865	65.0	2.4166666666666665	0	0	0.0	0.0	                            	0.0	5.8	294637390	0	0	0
291	2	282	142	141.0	141.0	2.0	0	0	0.0	0.0	 	0.0	2.0	300815822	0	0	0
292	4	684	214	171.0	165.0	1.3333333333333333	1	1	0.25	0.0	   	0.0	1.3333333333333333	304134680	0	0	0
293	1	5	5	5.0	5.0	1.0	0	0	0.0	0.0		0.0	1.0	317138208	0	0	0
294	3	96	39	32.0	31.0	1.0	0	0	0.0	0.0	  	0.0	1.5	326882627	0	0	0
295	17	640	55	37.64705882352941	41.0	2.125	0	0	0.0	0.0	                	0.0	4.25	353145194	0	0	0
296	1	58	58	58.0	58.0	1.0	0	0	0.0	0.0		0.0	1.0	358895372	0	0	0
297	31	3959	239	127.70967741935483	130.0	2.8181818181818183	0	0	0.0	0.0	                              	0.0	6.2	41132649	0	0	0
298	3	127	46	42.333333333333336	43.0	1.0	0	0	0.0	0.0	  	0.0	3.0	417351362	0	0	0
299	53	4127	132	77.86792452830188	82.0	4.818181818181818	3	1	0.05660377358490566	0.0	                                                    	0.0	10.6	42193711	0	0	0
300	2	16	9	8.0	8.0	1.0	0	0	0.0	0.0	 	0.0	1.0	446759129	0	0	0
301	1	6	6	6.0	6.0	1.0	0	0	0.0	0.0		0.0	1.0	465861568	0	0	0
302	1	6	6	6.0	6.0	1.0	0	0	0.0	0.0		0.0	1.0	498477284	0	0	0
303	11	73	28	6.636363636363637	1.0	2.75	0	0	0.0	0.0	Задать мне вопрос или оставить мнение можно здесь : https://vk.com/app7132085#503848230 Задать мне вопрос или оставить мнение можно здесь : https://vk.com/app7132085#503848230 Задать мне вопрос или оставить мнение можно здесь : https://vk.com/app7132085#503848230 Задать мне вопрос или оставить мнение можно здесь : https://vk.com/app7132085#503848230 Задать мне вопрос или оставить мнение можно здесь : https://vk.com/app7132085#503848230 Задать мне вопрос или оставить мнение можно здесь : https://vk.com/app7132085#503848230 Задать мне вопрос или оставить мнение можно здесь : https://vk.com/app7132085#503848230    	87.0	5.5	503848230	0	7	0
304														504712884.0			
305														506378583.0			
306	15	347	40	23.133333333333333	24.0	2.142857142857143	0	0	0.0	0.0	              	0.0	15.0	516142600	0	0	0
307	9	33	16	3.6666666666666665	1.0	9.0	0	0	0.0	0.0	        	0.0	9.0	559487192	0	0	0
308	1	4	4	4.0	4.0	1.0	0	0	0.0	0.0		0.0	1.0	559792885	0	0	0
309	1	8	8	8.0	8.0	1.0	0	0	0.0	0.0		0.0	1.0	559796134	0	0	0
310	2	10	7	5.0	5.0	2.0	0	0	0.0	0.0	 	0.0	2.0	560125926	0	0	0
311	3	16	8	5.333333333333333	5.0	1.5	0	0	0.0	0.0	  	0.0	3.0	560325568	0	0	0
312	20	98	12	4.9	5.0	2.2222222222222223	0	0	0.0	0.0	                   	0.0	5.0	61407777	0	0	0
313	8	362	108	45.25	39.0	1.6	3	3	0.375	0.0	       	0.0	4.0	67059405	0	0	0
314	8	496	91	62.0	61.5	1.1428571428571428	0	0	0.0	0.0	       	0.0	2.6666666666666665	89440001	0	0	0
315	3	165	88	55.0	48.0	1.0	0	0	0.0	0.0	  	0.0	1.5	90889234	0	0	0
316	17	525	103	30.88235294117647	18.0	2.4285714285714284	0	0	0.0	0.0	                	0.0	2.8333333333333335	91784646	0	0	0
317	15	1476	176	98.4	92.0	1.6666666666666667	0	0	0.0	0.0	              	0.0	3.0	229553210	0	0	0
318	64	427	39	6.671875	5.0	5.818181818181818	0	0	0.0	0.0	                                                               	0.0	12.8	173272144	0	0	0
319														67313918.0			
320	24	97	21	4.041666666666667	2.0	4.8	8	2	0.3333333333333333	0.0	                       	0.0	6.0	81398082	0	0	0
321	2	150	84	75.0	75.0	1.0	0	0	0.0	0.0	 	0.0	1.0	144381045	0	0	0
322														550026993.0			
323	22	1706	119	77.54545454545455	80.5	2.75	0	0	0.0	0.0	                     	0.0	5.5	285610454	0	0	0
324	13	440	60	33.84615384615385	32.0	1.8571428571428572	0	0	0.0	0.0	      Дама на лыжах. Фото в цвете.     SEX-ATTACK 	0.0	3.25	124650897	0	0	0
325														196682518.0			
326	11	16	12	1.4545454545454546	0.0	5.5	0	0	0.0	0.0	          	0.0	5.5	176390700	0	0	0
327	22	365	40	16.59090909090909	13.0	2.75	0	0	0.0	0.0	                     	0.0	7.333333333333333	250802245	0	0	0
328	40	3174	183	79.35	90.5	4.444444444444445	0	0	0.0	0.0	                                       	0.0	8.0	163971608	0	0	0
329	6	75	25	12.5	11.0	1.2	0	0	0.0	0.0	     	0.0	3.0	172422809	0	0	0
330	9	282	63	31.333333333333332	27.0	1.5	0	0	0.0	0.0	        	0.0	3.0	195112633	0	0	0
331	4	456	153	114.0	107.5	1.0	0	0	0.0	0.0	   	0.0	2.0	197897492	0	0	0
332	9	1439	287	159.88888888888889	124.0	1.8	0	0	0.0	0.0	        	0.0	1.8	66818353	0	0	0
333	30	2465	133	82.16666666666667	92.5	2.5	3	1	0.1	0.0	                             	0.0	5.0	255143005	0	0	0
334	25	5928	3643	237.12	36.0	2.272727272727273	0	0	0.0	0.0	                        	0.0	4.166666666666667	180917498	0	0	0
335	2	252	181	126.0	126.0	1.0	0	0	0.0	0.0	 	0.0	1.0	146359989	0	0	0
336	1	155	155	155.0	155.0	1.0	0	0	0.0	0.0		0.0	1.0	145698368	0	0	0
337	69	1578	178	22.869565217391305	23.0	5.75	0	0	0.0	0.0	                                        .                            	0.0	11.5	134143299	0	0	0
338	6	130	39	21.666666666666668	17.5	1.2	0	0	0.0	0.0	     	0.0	1.5	388448282	0	0	0
339	4	523	188	130.75	116.0	1.0	0	0	0.0	0.0	   	0.0	1.3333333333333333	226312878	0	0	0
340	1	11	11	11.0	11.0	1.0	0	0	0.0	0.0		0.0	1.0	247238228	0	0	0
341	10	655	73	65.5	64.0	1.4285714285714286	0	0	0.0	0.0	         	0.0	3.3333333333333335	95512528	0	0	0
342	61	377	52	6.180327868852459	4.0	5.545454545454546	0	0	0.0	0.0	            Задать мне вопрос или оставить мнение можно здесь : https://vk.com/app7132085#412506652   Задать мне вопрос или оставить мнение можно здесь : https://vk.com/app7132085#412506652   Задать мне вопрос или оставить мнение можно здесь : https://vk.com/app7132085#412506652  Задать мне вопрос или оставить мнение можно здесь : https://vk.com/app7132085#412506652 Задать мне вопрос или оставить мнение можно здесь : https://vk.com/app7132085#412506652 Задать мне вопрос или оставить мнение можно здесь : https://vk.com/app7132085#412506652                                      	0.0	20.333333333333332	412506652	0	6	0
343	11	1405	285	127.72727272727273	104.0	1.5714285714285714	1	1	0.09090909090909091	0.0	          	0.0	2.2	100177257	0	0	0
344	185	11855	342	64.08108108108108	61.0	15.416666666666666	1	1	0.005405405405405406	0.0	                                                                                                                                                                                        	0.0	26.428571428571427	198952484	0	0	0
345														101547329.0			
346	82	5082	210	61.97560975609756	49.0	6.833333333333333	3	1	0.036585365853658534	0.0	                                                    Первомай-отличный день, чтобы сходить...в качалку.                             	0.0	11.714285714285714	222197140	0	0	0
347	20	1217	170	60.85	53.5	1.8181818181818181	0	0	0.0	0.0	                   	0.0	4.0	268512540	0	0	0
348	1	41	41	41.0	41.0	1.0	0	0	0.0	0.0		0.0	1.0	136778365	0	0	0
349														341421745.0			
350														552436069.0			
351	1	37	37	37.0	37.0	1.0	0	0	0.0	0.0		0.0	1.0	157705424	0	0	0
352														111457436.0			
353	1	32	32	32.0	32.0	1.0	0	0	0.0	0.0		0.0	1.0	151578699	0	0	0
354	2	133	103	66.5	66.5	1.0	0	0	0.0	0.0	 	0.0	1.0	280591770	0	0	0
355	2	135	73	67.5	67.5	1.0	0	0	0.0	0.0	 	0.0	1.0	258751975	0	0	0
356	7	371	90	53.0	48.0	1.1666666666666667	0	0	0.0	0.0	      	0.0	1.75	137785013	0	0	0
357														332149633.0			
358	2	121	66	60.5	60.5	1.0	0	0	0.0	0.0	 	0.0	2.0	159179747	0	0	0
359	8	316	68	39.5	32.5	1.6	0	0	0.0	0.0	       	0.0	2.6666666666666665	200515168	0	0	0
360														219596124.0			
