	photo_cnt	photo_like_cnt	photo_like_max	photo_like_mean	photo_like_median	photo_month_mean	photo_repost_cnt	photo_repost_max	photo_repost_mean	photo_repost_median	photo_text	photo_text_len_cnt	photo_yer_mean	uid	vk_photo_ava_change_cnt	vk_photo_text_url_len_cnt	vk_photo_wall_ph_post_cnt
238	3	127	85	42.333333333333336	27.0	1.0	0	0	0.0	0.0	  	0.0	1.0	193336032	0	0	0
239	3	160	61	53.333333333333336	51.0	1.0	0	0	0.0	0.0	  	0.0	1.0	177854080	0	0	0
240	49	4353	587	88.83673469387755	70.0	4.9	1	1	0.02040816326530612	0.0	                                                	0.0	7.0	48215287	0	0	0
241	42	1503	92	35.785714285714285	29.0	4.2	0	0	0.0	0.0	                                         	0.0	14.0	77750463	0	0	0
242	1	73	73	73.0	73.0	1.0	0	0	0.0	0.0		0.0	1.0	145697953	0	0	0
243	7	452	103	64.57142857142857	64.0	1.4	0	0	0.0	0.0	      	0.0	1.75	70683758	0	0	0
244														533845067.0			
245	11	1153	136	104.81818181818181	103.0	1.375	0	0	0.0	0.0	          	0.0	2.2	145295301	0	0	0
246	34	2222	153	65.3529411764706	63.5	3.090909090909091	0	0	0.0	0.0	                     💮            	0.0	8.5	100169949	0	0	0
247	16	1402	126	87.625	89.5	3.2	1	1	0.0625	0.0	               	0.0	8.0	87201979	0	0	0
248	1	43	43	43.0	43.0	1.0	0	0	0.0	0.0		0.0	1.0	299854452	0	0	0
249	4	150	55	37.5	36.0	1.0	0	0	0.0	0.0	   	0.0	1.3333333333333333	35518398	0	0	0
250	7	564	120	80.57142857142857	87.0	1.75	1	1	0.14285714285714285	0.0	      	0.0	1.75	193552206	0	0	0
251	2	51	44	25.5	25.5	1.0	0	0	0.0	0.0	 	0.0	1.0	155395394	0	0	0
252	151	3722	166	24.649006622516556	18.0	12.583333333333334	0	0	0.0	0.0	                                                                                                                                                      Мой малютка пёсик))) няняня :з	0.0	21.571428571428573	216465800	0	0	0
253	193	6676	394	34.590673575129536	30.0	16.083333333333332	3	2	0.015544041450777202	0.0	                                                         🍥🍥🍥                                                                                                                                       	0.0	27.571428571428573	80765861	0	0	0
254	13	1514	450	116.46153846153847	43.0	1.4444444444444444	2	2	0.15384615384615385	0.0	          #Погружение 😬😬😬  	0.0	3.25	176761043	0	0	0
255	42	683	105	16.261904761904763	10.0	3.5	0	0	0.0	0.0	                                         	0.0	6.0	192840684	0	0	0
256	31	2727	164	87.96774193548387	83.0	3.1	0	0	0.0	0.0	                              	0.0	6.2	105350170	0	0	0
257	5	52	17	10.4	15.0	1.6666666666666667	0	0	0.0	0.0	    	0.0	1.6666666666666667	127399692	0	0	0
258	1	31	31	31.0	31.0	1.0	0	0	0.0	0.0		0.0	1.0	150489420	0	0	0
259	6	328	90	54.666666666666664	57.5	1.0	0	0	0.0	0.0	     	0.0	1.5	199629307	0	0	0
260	183	4916	172	26.863387978142075	22.0	15.25	0	0	0.0	0.0	"                                                            Заказали что-то страшное)))    я жёлтенькая)))   В горах) Мой День Рождения)  Сюрприз от девочек))) Пляж.... и море....                           Я с подругой из Франции))))                                мы все МОЛОДЦЫ!           ДЕНЬ РОЖДЕНИЯ ПО ХАРАКТЕРУ. НАЙДИ СВОЙ ДЕНЬ:

1, 17, 7, 24 - добрая, независимая, скромная.
4,10, 12, 28 - красивая, нежная, прикольная.
3, 23, 31, 11 -дерзкая, ранимая, красивая
8, 2, 25, 16 - прелестная, милая, мегапозитивная
5, 27, 6,           Мандаринка    Мармелаааад! Арбууууууууузики! m&m's  skittles Миииииииишки! червячки!!!     карандашики!!!!!!!!!!!!!!!!!    Друзья на моей странице.
Создано в приложении ""Облако Слов"" : Vk.com/wCloud Друзья на моей странице.
Создано в приложении ""Облако Слов"" : Vk.com/wCloud Друзья на моей странице.
Создано в приложении ""Облако Слов"" : Vk.com/wCloud            "	0.0	26.142857142857142	176568557	0	0	0
261	33	2205	169	66.81818181818181	61.0	3.0	0	0	0.0	0.0	                                	0.0	8.25	101342941	0	0	0
262	281	1872	92	6.661921708185053	3.0	23.416666666666668	0	0	0.0	0.0	"                                                                                                                                                                                                                                                                        BERETTA            Сделано приложением Коллаж Друзей 2
http://vkontakte.ru/app2208440    "	0.0	31.22222222222222	144946455	0	1	0
263	39	1729	143	44.333333333333336	39.0	3.5454545454545454	0	0	0.0	0.0	                                      	0.0	9.75	145259791	0	0	0
264	29	968	99	33.37931034482759	27.0	2.4166666666666665	0	0	0.0	0.0	                            	0.0	7.25	202193984	0	0	0
